Proposta,Eixo
"Angariar recursos por meio de emendas ou contenção de gastos, para aquisição de veículos de uso exclusivo na área da saúde;",Saúde
Desenvolver ação para sanar as filas nas unidades de saúde;,Saúde
"Proporcionar melhorias no atendimento médicos com oferta de exames de ultrassom e raio-x, farmácia básica;",Saúde
"Implementar programas que atendam pessoas que apresentem dificuldades  temporárias  ou  definitivas  de  sair  de  sua  casa  para chegar  até  uma  unidade  de  saúde,  ou  ainda  para  pessoas  que necessitam de aten dimento domiciliar;",Saúde
"Implementar projetos e programas de saúde pública e prevenção, que atendam todo cidadão desde a gestação até a terceira idade;",Saúde
Pactuar programas condizentes com a realidade do nosso município;,Saúde
"Reativar o Programa Brasil sorridente, com equipe de saúde bucal e próteses dentárias;",Saúde
"Viabilizar convênios com atendimentos especializados, como: ginecologista, pediatra, neurologista, psiquiatra e urologista;",Saúde
Aquisição de ambulâncias tanto para a sede como também para as localidades de maior fluxo populacional do município;,Saúde
Pactuar parcerias oftalmológicas para minimizar gastos provenientes de custos anuais;,Saúde
Implantar centro de atendimento para crianças atípicas;,Saúde
"Implantar o programa “REMÉDIO EM CASA” para diabéticos e hipertensos cadastrados na rede municipal, e que tenham residência fixa no município;",Saúde
Construir de unidades básicas de saúde na Emparedada e Vila do Mel;,Saúde
Criar pontos de apoio de atendimento de saúde em mais duas localidades;,Saúde
Disponibilizar  profissional  capacitado  no  ato  de  deslocamento  de pacientes (não somente o motorista);,Saúde
"Manter a casa de apoio aos enfermos com carro, motorista, assistente doméstico  e  “auxiliar  gestor  em  saúde”  (GUIA),  tanto  para  Teresina, como também implantar o mesmo sistema em Picos;",Saúde
Implantar médico 24 horas em nosso Município.,Saúde
Priorizar ações de promoção e prevenção da saúde individual e coletiva;,Saúde
Ampliar o acesso aos serviços de saúde;,Saúde
"Reduzir os agravos à saúde da população, relativos à atenção básica;",Saúde
Melhorar a resolutividade dos serviços de saúde;,Saúde
Implantar ações específicas para o atendimento da mulher e da criança;,Saúde
Priorizar atendimentos e campanhas voltadas para a Saúde do Homem;,Saúde
"Implementar tecnologias para melhorar a assistência sanitária e fortalecer a vigilância sanitária, epidemiológica e ambiental;",Saúde
Articular ações de saúde com ações de melhoria das condições ambientais;,Saúde
"Colocar profissionais que promovam a qualidade de vida no PSF, como por exemplo, as atividades físicas;",Saúde
"Expandir e estruturar as equipes de Saúde Bucal ampliando a cobertura do serviço em 100% até 2028, e em parceria com o Governo Federal, implementar ações de tratamento de canal, entre outros serviços especializados;",Saúde
Monitorar a cobertura de vacinas para que os grupos prioritários de crianças e idosos possam ser atendidos com rapidez e eficácia;,Saúde
"Ampliar a Rede de Atenção às mulheres, crianças e adolescentes em situação de risco de saúde;",Saúde
Expandir ações de Planejamento Familiar por meio da ampliação do acesso aos métodos anticoncepcionais;,Saúde
Ampliar e estruturar os serviços de Saúde Mental;,Saúde
"Construir, reformar e reestruturar as Unidades Básicas de Saúde-UBS e os Postos de Saúde do Município;",Saúde
Fazer parcerias para o atendimento dos usuários de álcool e drogas nos hospitais gerais da rede estadual e credenciados;,Saúde
Garantir o atendimento humanizado das mulheres e crianças vítimas de violência;,Saúde
Qualificar pessoas para atendimento humanizado aos idosos e portadores de necessidades especiais;,Saúde
Promover ações de Educação em Saúde;,Saúde
Agilizar a coleta e resultados de exames de câncer do colo do útero;,Saúde
Buscar junto a rede estadual e conveniada o aumento da oferta de exames de média e alta complexidade para o Município;,Saúde
"Promover Campanhas de Combate à Dengue, Zika, Chicungunha e COVID-19;",Saúde
"Apoiar a Saúde das Gestantes através de ações do Programa Saúde da Família, integrado com Profissionais do NASF;",Saúde
"Ampliar o programa telessaúde  com  acesso  a um maior número de  especialistas,",Saúde
Implantar o Serviço de Atendimento Móvel de Urgência (SAMU);,Saúde
Desenvolver ações de prevenção e promoção da saúde do trabalhador.,Saúde
Adquirir veículos equipados para emergências;,Saúde
Atendimento Domiciliar ao Idoso;,Saúde
"Campanhas itinerantes, de atendimento de saúde, em todos os povoados.",Saúde
"Promover melhorias da estrutura física, dos equipamentos e dos serviços nos postos de saúde, garantindo, via parceria com o estado, o atendimento preventivo de saúde a toda população Morrense;",Saúde
Programa de capacitação continua para  profissionais atuantes na saúde  visando  à  prevenção  de  doenças  sexualmente  transmissíveis  e  cânceres comuns;,Saúde
Cursos intensivos para capacitação na atuação dos agentes de saúde e agentes de endemias;,Saúde
"Melhoria na distribuição gratuita de medicamentos para doenças como pressão alta, diabetes, colesterol e outros – Farmácia Básica;",Saúde
Recuperação  da  estrutura  dos  equipamentos  de  saúde  (postos)  já existentes apresentarem mau estado de conservação e/ou serviços deficitários;,Saúde
Reduzir  o  tempo  de  espera  para  consultas  médicas  nos  postos  de saúde da prefeitura.,Saúde
Equipar os Postos de Saúde com uma estrutura básica para realização de exames.,Saúde
"Contratação de profissionais de saúde como: médicos, dentistas, fisioterapeutas, nutricionistas, fonoaudiólogos etc.",Saúde
Saude,Saúde
Construção e equipagem de prontos-socorros modernos com capacidade de atendimento de alta complexidade.,Saúde
Contratação e capacitação de profissionais de saúde.,Saúde
