Proposta,Eixo
angariar recursos meio emendas contenção gastos aquisição veículos uso exclusivo área saúde,Saúde
desenvolver ação sanar filas unidades saúde,Saúde
proporcionar melhorias atendimento médicos oferta exames ultrassom raio-x farmácia básica,Saúde
implementar programas atendam pessoas apresentem dificuldades temporárias definitivas sair casa chegar unidade saúde ainda pessoas necessitam aten dimento domiciliar,Saúde
implementar projetos programas saúde pública prevenção atendam todo cidadão desde gestação terceira idade,Saúde
pactuar programas condizentes realidade município,Saúde
reativar programa brasil sorridente equipe saúde bucal próteses dentárias,Saúde
viabilizar convênios atendimentos especializados ginecologista pediatra neurologista psiquiatra urologista,Saúde
aquisição ambulâncias tanto sede localidades maior fluxo populacional município,Saúde
pactuar parcerias oftalmológicas minimizar gastos provenientes custos anuais,Saúde
implantar centro atendimento crianças atípicas,Saúde
implantar programa “ remédio casa ” diabéticos hipertensos cadastrados rede municipal residência fixa município,Saúde
construir unidades básicas saúde emparedada vila mel,Saúde
criar pontos apoio atendimento saúde duas localidades,Saúde
disponibilizar profissional capacitado ato deslocamento pacientes somente motorista,Saúde
manter casa apoio enfermos carro motorista assistente doméstico “ auxiliar gestor saúde ” guia tanto teresina implantar sistema picos,Saúde
implantar médico 24 horas município,Saúde
priorizar ações promoção prevenção saúde individual coletiva,Saúde
ampliar acesso serviços saúde,Saúde
reduzir agravos saúde população relativos atenção básica,Saúde
melhorar resolutividade serviços saúde,Saúde
implantar ações específicas atendimento mulher criança,Saúde
priorizar atendimentos campanhas voltadas saúde homem,Saúde
implementar tecnologias melhorar assistência sanitária fortalecer vigilância sanitária epidemiológica ambiental,Saúde
articular ações saúde ações melhoria condições ambientais,Saúde
colocar profissionais promovam qualidade vida psf exemplo atividades físicas,Saúde
expandir estruturar equipes saúde bucal ampliando cobertura serviço 100 2028 parceria governo federal implementar ações tratamento canal outros serviços especializados,Saúde
monitorar cobertura vacinas grupos prioritários crianças idosos possam atendidos rapidez eficácia,Saúde
ampliar rede atenção mulheres crianças adolescentes situação risco saúde,Saúde
