Educacao
"Viabilizar  melhorias  nas  condições  de  funcionamento  das  escolas,  por  meio  de equipamentos, tecnologias avançadas e recursos pedagógicos;"
"Fortalecer o programa de alfabetização na idade certa para reduzir a distorção idade-série, em parceria com o Estado;"
Viabilizar facilidade para aquisição do auxílio financeiro para estudantes que trabalham e para aqueles em situação de vulnerabilidade;
Promover cursos de capacitação e aperfeiçoamento para os professores em educação especial;
Viabilizar e garantir uma melhor quantidade da merenda escolar;
Valorização da classe dos professores no cumprimento e no fortalecimento do Plano de Carreira dos Servidores em Educação;
"Revitalizar, Equipar, modernizar, informatizar e climatizar a Biblioteca Municipal;"
Revitalizar os laboratórios de informática com internet em todas as escolas municipais para utilização dos alunos;
Promover a climatizar de todas as salas de aulas nas escolas municipais;
Promover a execução do Plano de Ação Articulada – PAR;
"Reformar, ampliar e equipar as escolas municipais;"
"Viabilizar veículo para o transporte de professores, técnicos e servidores da secretaria municipal de educação;"
Promover  a  Garantia  de  fardamento  para  todos  os  alunos  da  Creche  ao  Ensino fundamental da rede municipal;
"Viabilizar programa nas escolas voltado ao aprendizado para o ENEM esse programa seria em parceria com a SEDUC-PI, que ofertaria aulas online e cursos preparatórios para o ENEM, além de apoio por parte da prefeitura nos custeios dos alunos carentes que  tivessem  o  melhor  desempenho  até  o  primeiro  ano  do  ensino  médio,  de  forma aquele  aluno  ter  oportunidade  de  estudar  na  capital  durante  dois  anos,  o  segundo  e terceiro ano do ensino médio;"
Implantar salas de reforços escolar para atender alunos com dificuldade na aprendizagem;
Viabilizar  formação  continuada  para  todos  os  professores  e  coordenadores  na  rede municipal de ensino;
Realizar concurso Público;
"Viabilizar  formação  e  aperfeiçoamento  para  motorista,  zeladores,  merendeiras  e serviços gerais;"
Revitalizar as escolas TREZE DE MAIO
Promover Reforma da Escola ALIANÇA DO GURGUEIA em tele centros e viabilizar bibliotecas e laboratórios de informática para atender os Alunos Famílias da Comunidade;
"Repassar de forma exata ao INSS as contribuições dos servidores, a fim de evitar problemas e prejuízos no momento das aposentadorias."
"Garantir e manter a integralidade do calendário escolar, de acordo com a Lei de Diretrizes e Bases da Educação Nacional (LDB), e organizar currículos e projetos político-pedagógicos."
"Aumentar  o  investimento  na  educação  infantil  e  no  ensino  fundamental, visando à melhoria contínua da educação básica."
"Fortalecer a gestão democrática da educação, garantindo a articulação com a sociedade civil e fortalecendo o conselho municipal de educação e os conselhos  escolares,  com  base  em  critérios  estabelecidos  por  leis  e resoluções vigentes."
"Realizar levantamento e auditoria em escolas com contas irregulares, com o objetivo de restabelecer os recursos próprios das escolas."
Melhorar a estrutura das escolas rurais e urbanas.
Assegurar inclusão em todas as escolas municipais garantindo Atendimento
"Educacional Especializado (AEE), a todos que fazem parte da educação"
especial.
Realizar  levantamento  (em  conjunto  com  as  famílias)  de  crianças  e adolescentes  com  dificuldades  de  aprendizagem  que  necessitam  de atendimento especializado.
Distribuir kits de material voltados para alunos do ciclo de alfabetização.
Distribuir kits de apoio pedagógico/material para professores da rede.
"Buscar convênios/parcerias para melhorar a qualidade do transporte escolar do município, planejando sua utilização de forma eficiente de acordo com as necessidades dos estudantes e dos professores ."
Implantar o programa de “primeiro lanche” na educação infantil.
"Garantir o fornecimento e a qualidade da merenda escolar, incorporando produtos da agricultura local em toda a rede municipal, além de capacitar os profissionais para o manuseio e preparo alimentar nas escolas, estimulando o pequeno empreendedorismo na zona rural de Manoel Emídio."
Estimular a prática de atividades esportivas nas escolas da rede.
Melhorar os equipamentos tecnológicos das escolas.
Promover formação continuada em áreas específicas para professores e gestores escolares.
Investir em capacitação para outros profissionais da educação.
"Integrar escolas maiores em turno integral, ou expandir a carga horária dos alunos, com uma forte articulação com as áreas de esporte, ciência e cultura."
"Promover reforço escolar para alunos com dificuldades de aprendizagem, focando especialmente em leitura e escrita."
Zelar pela manutenção e fortalecimento dos programas educacionais.
"Garantir  atendimento  educacional  a  população  com  15  anos  ou  mais, reduzindo a taxa de analfabetismo funcional."
Planejar  e  implementar  um  fundo  educacional  para  poupar/recursos financeiros  destinados  à  realização  de  eventos  e  para  situações emergenciais.
"Viabilizar a criação de um núcleo multiprofissional da educação, composto por  fonoaudiólogos,  psicólogos  e  psicopedagogos,  para  ampliar  o atendimento em todas as escolas da rede municipal."
Analisar  a  viabilidade  da  construção  de  uma  nova  creche  voltada  para atender crianças de 0 a 5 anos.
Capacitar profissionais para atender públicos inclusivos nas escolas.
Garantir a segurança dos alunos no transporte escolar.
Reformulação do plano de carreira dos profissionais da educação.
"Integrar na equipe da secretaria municipal de educação uma psicopedagoga, afim de compreender os processos de aprendizagem dentro das instalações de  ensino,  indo  em  busca  de  soluções  inovadoras  para  potencializar  o aprendizado das crianças."
"Programa de construção de creches em tempo integral, para atendimento às famílias cujas mães trabalham fora de casa;"
"Implantar  o  Projeto  meta  de  atendimento  a  educação,valorizando  o  plano  de cargos, carreiras e salário;"
Promoção  de  melhoria  e  estrutura  física  e  nos  equipamentos  de  escolas  e creches;
"Construir  uma  escola padrão  MEC/FNDE,  para  atendimento  de  educação  em tempo integral;"
Fortalecer a política do fardamento escolar com a doação municipal;
Ampliar e fortalecer a educação inclusiva nas escolas e nas famílias;
Calendário  escolar  adequado  a  realidade  da  zona  rural  e  políticas  públicas voltadas  para a valorização do professor e o aluno da zona rural;
Criar os jogos escolares para incentivar as práticas esportivas na escola.
"Fortalecer parceria com governos Estadual, Federal e outras intiutições referente a preparação para o enem."
Criar projetos de incetivos aos alunos que cursarem cursos superiores em outras cidades.
Melhorar a qualidade da merenda escolar.
Reduzir as taxas de analfabetismo no municipio.
"Promover e valorizar o Magistério respeitando os direitos adquiridos pelos profissionais da educação, através do estatuto e plano de carreira;"
Criar projeto de lei para equiparação automática do piso do magistério anual nacional ao piso salarial municipal;
"Constituir equipe técnica pedagógica que atue, primordialmente, nas escolas junto aos professores e coordenadores escolares;"
Dar melhor transparência na utilização dos recursos públicos;
Construir novas escolas e creches em parceria com o governo federal;
Adquirir novos ônibus para melhorar o transporte escolar e melhorar o atendimento aos estudantes da rede municipal de ensino em parceira com o governo federal;
"Garantir de forma gratuita o transporte para os universitários e estudantes de cursos técnicos não oferecidos em Jardim do Mulato, através de projeto de lei;"
"Ampliar em parceria com o governo do estado, para a implantação de cursos técnicos profissionalizantes de acordo as necessidades da população;"
"Implantar  e/ou  ampliar  os  laboratórios  de  informática,  laboratórios  de  ciências  da natureza e as bibliotecas das escolas municipais;"
"Instalar através de parcerias, biblioteca infantil e brinquedoteca na creche;"
Implantar  nas  escolas  que  ofertem  do  6º  ao  9º  anos  laboratórios  de  ciências  para  o fomento das atividades práticas;
Planejar e monitorar com eficiência o transporte escolar na zona urbana e rural;
Fornecer uma merenda escolar de qualidade com garantias nutricionais;
Ampliar as salas de Atendimento a Educação Especial – AEE;
"Ampliar gradativamente a Escola de tempo integral, atendendo ao Plano Nacional de Educação, com ênfase nos conceitos de cidadania, democracia, sustentabilidade e responsabilidade social, com o apoio do governo federal;"
Viabilizar junto ao Ministério da Educação a construção de escolas necessárias para a implementação do turno integral de ensino;
Alfabetizar pelo menos 90% dos alunos na idade certa;
"Ampliar e manter a disponibilidade de acesso a internet na escola, principalmente na administração e bibliotecas;"
"Capacitar os gestores, professores, equipe pedagógica, merendeiras, vigias, auxiliaries de serviços  gerais  e  equipe  administrativa  da  rede  municipal  através  de  jornadas  pedagógicas, palestras e formações continuadas;"
Desenvolver atividades recreativas pedagógicas;
Implantar  núcleo  de  atendimento  psicológico  para  a  disponibilização  de  psicólogos educacionais e clínicos que atenda a comunidade escolar;
"Elaborar  projeto  pedagógico  e  plano  de  ação  anual,  através  do  efetivo  calendário acadêmico de atividades, que atendam às necessidades reais da comunidade na qual as creches e as escolas de ensinos fundamentais estão localizadas;"
Fortalecer o conselho municipal a educação e criar o fórum permanente de educação para promover o debate sobre ações na área que visem os índices educacionais do município;
Estimular jovens de baixa renda aptos ao nível superior a fazerem seu curso no ensino a distância pelo sistema UAB (Universidade Aberta Brasil) no pólo da Universidade Estadual do Piauí em Jardim do Mulato;
"Criar atividades culturais, literárias e esportivas nas escolas da rede municipal de ensino com  ampla  participação  da  comunidade,  sobretudo  os  pais  e  responsáveis  por  alunos, aproximando escola e comunidade;"
"Promover atividade de incentivo a leitura, como oficinas, concursos de redação, saraus, recitais, debates, encontros entre estudantes e autores, dentre outros;"
"Incentivar a realização de atividades práticas nas escolas, como dias de campo, visitas a instituições culturais e científicas, projetos de pesquisas e outros;"
"Potencializar o papel das escolas nas campanhas educativas sobre temáticas de segurança, da cidadania, paz social, do meio ambiente, de saúde, de trânsito, dentre outras;"
Utilizar salas de aulas e horários ociosos nas escolas municipais e em instituições para ofertar oficinas culturais e cursos profissionalizantes;
Climatizar  e  modernização  da  infraestrutura  física  das  escolas  da  rede  municipal  de ensino;
Criar lei dos estagiários da educação e das demais áreas;
Dar  maior  segurança  aos  envolvidos  no  processo  ensino-aprendizagem  através  da presença da Polícia Militar nas escolas da rede.
Promover a melhoria na estrutura física e nos equipamentos das escolas e creches;
"Ampliar o número de vagas para Educação Infantil, inclusive com a construçao de creches;"
Realizar busca ativa por alunos na zona rural/nas comunidades /localidades;
"Revisar o Plano de Carreira do Magistério, criando um Plano de Carreira dos Profissionais da Educação;"
Garantir transporte Escolar digno e eficiente aos estudantes que se deslocam da zona rural para a escola mais próxima de sua residência;
